date,region_code,region,recovered,active_cases,deceased,cases
2020-10-07,1,Eivissa,1771,349,15,2111
2020-10-07,2,Formentera,123,14,1,138
2020-10-07,3,Mallorca,9971,2015,291,12223
2020-10-07,4,Menorca,332,43,13,387
2020-10-08,1,Eivissa,1787,354,15,2132
2020-10-08,2,Formentera,124,13,1,138
2020-10-08,3,Mallorca,10033,2040,294,12314
2020-10-08,4,Menorca,334,43,13,389
2020-10-12,1,Eivissa,1861,321,15,2173
2020-10-12,2,Formentera,126,11,1,138
2020-10-12,3,Mallorca,10269,2234,294,12745
2020-10-12,4,Menorca,337,47,13,396
2020-10-13,1,Eivissa,1877,323,16,2192
2020-10-13,2,Formentera,129,8,1,138
2020-10-13,3,Mallorca,10334,2229,298,12810
2020-10-13,4,Menorca,340,74,13,426
2020-10-14,1,Eivissa,1885,327,16,2204
2020-10-14,2,Formentera,129,8,1,138
2020-10-14,3,Mallorca,10387,2284,302,12923
2020-10-14,4,Menorca,340,78,13,430
2020-10-15,1,Eivissa,1917,312,16,2221
2020-10-15,2,Formentera,129,8,1,138
2020-10-15,3,Mallorca,10525,2249,304,13028
2020-10-15,4,Menorca,340,81,13,433
2020-10-18,1,Eivissa,1967,316,16,2275
2020-10-18,2,Formentera,129,8,1,138
2020-10-18,3,Mallorca,10798,2279,304,13331
2020-10-18,4,Menorca,344,92,13,448
2020-10-19,1,Eivissa,1991,321,16,2304
2020-10-19,2,Formentera,129,9,1,139
2020-10-19,3,Mallorca,10900,2252,309,13411
2020-10-19,4,Menorca,348,99,13,459
2020-10-20,1,Eivissa,2012,333,16,2337
2020-10-20,2,Formentera,129,9,1,139
2020-10-20,3,Mallorca,10982,2288,313,13533
2020-10-20,4,Menorca,351,105,13,468
2020-10-21,1,Eivissa,2031,343,16,2366
2020-10-21,2,Formentera,129,9,1,139
2020-10-21,3,Mallorca,11078,2324,321,13676
2020-10-21,4,Menorca,356,111,13,479
2020-10-22,1,Eivissa,2043,368,16,2404
2020-10-22,2,Formentera,129,9,1,139
2020-10-22,3,Mallorca,11143,2405,328,13835
2020-10-22,4,Menorca,356,126,14,495
2020-10-25,1,Eivissa,2110,359,16,2462
2020-10-25,2,Formentera,130,9,1,140
2020-10-25,3,Mallorca,11466,2546,333,14305
2020-10-25,4,Menorca,384,126,14,523
2020-10-27,1,Eivissa,2152,408,16,2554
2020-10-27,2,Formentera,130,12,1,143
2020-10-27,3,Mallorca,11701,2616,335,14612
2020-10-27,4,Menorca,395,132,14,540
2020-10-28,1,Eivissa,2164,430,16,2587
2020-10-28,2,Formentera,130,14,1,145
2020-10-28,3,Mallorca,11763,2731,335,14789
2020-10-28,4,Menorca,400,139,14,552
2020-11-01,1,Eivissa,2256,523,17,2773
2020-11-01,2,Formentera,131,13,1,145
2020-11-01,3,Mallorca,12195,2927,340,15422
2020-11-01,4,Menorca,430,126,14,569
2020-11-02,1,Eivissa,2277,540,17,2812
2020-11-02,2,Formentera,131,14,1,146
2020-11-02,3,Mallorca,12329,2969,341,15599
2020-11-02,4,Menorca,442,125,14,580
2020-11-03,1,Eivissa,2312,544,17,2851
2020-11-03,2,Formentera,131,15,1,147
2020-11-03,3,Mallorca,12467,3001,342,15770
2020-11-03,4,Menorca,466,103,14,582
2020-11-04,1,Eivissa,2337,583,17,2915
2020-11-04,2,Formentera,132,16,1,149
2020-11-04,3,Mallorca,12626,3024,343,15953
2020-11-04,4,Menorca,481,101,14,595
2020-11-05,1,Eivissa,2364,585,17,2944
2020-11-05,2,Formentera,133,16,1,150
2020-11-05,3,Mallorca,12763,3097,347,16167
2020-11-05,4,Menorca,484,107,14,604
2020-11-08,1,Eivissa,2437,573,17,3005
2020-11-08,2,Formentera,137,12,1,150
2020-11-08,3,Mallorca,13181,3273,349,16763
2020-11-08,4,Menorca,500,104,14,617
2020-11-09,1,Eivissa,2466,569,17,3030
2020-11-09,2,Formentera,137,13,1,151
2020-11-09,3,Mallorca,13315,3288,351,16914
2020-11-09,4,Menorca,505,110,14,628
2020-11-10,1,Eivissa,2497,584,17,3076
2020-11-10,2,Formentera,137,14,1,152
2020-11-10,3,Mallorca,13452,3343,351,17106
2020-11-10,4,Menorca,508,111,14,632
2020-11-11,1,Eivissa,2515,598,19,3110
2020-11-11,2,Formentera,137,14,1,152
2020-11-11,3,Mallorca,13554,3411,352,17277
2020-11-11,4,Menorca,509,124,14,646
2020-11-12,1,Eivissa,2571,562,24,3135
2020-11-12,2,Formentera,137,16,1,154
2020-11-12,3,Mallorca,13685,3427,353,17425
2020-11-12,4,Menorca,517,125,14,655
2020-11-15,1,Eivissa,2665,528,25,3196
2020-11-15,2,Formentera,138,15,1,154
2020-11-15,3,Mallorca,14134,3428,354,17876
2020-11-15,4,Menorca,527,137,14,678
2020-11-16,1,Eivissa,2722,490,26,3216
2020-11-16,2,Formentera,139,15,1,155
2020-11-16,3,Mallorca,14360,3376,359,18056
2020-11-16,4,Menorca,530,152,14,696
